7081,-0.03,0.98,0.00,-0.07,0.14,0.09,1.25,1.04,0.64
7091,-0.02,0.98,0.01,-0.04,0.31,0.06,2.99,1.05,0.64
7101,-0.02,0.99,0.01,-0.17,0.07,-0.08,4.69,1.06,0.64
7111,-0.02,0.98,0.01,-0.23,0.16,0.04,6.36,1.06,0.64
7121,-0.02,0.99,0.01,-0.06,0.05,-0.12,7.99,1.07,0.64
7131,-0.02,0.99,0.01,0.08,0.01,0.17,9.61,1.06,0.64
7141,-0.02,0.98,0.01,0.26,-0.15,-0.03,11.18,1.06,0.64
7151,-0.02,0.99,0.00,0.12,-0.31,0.04,12.73,1.06,0.64
7161,-0.02,0.98,0.00,0.06,-0.10,0.01,14.25,1.07,0.64
7171,-0.03,0.98,-0.01,0.08,-0.19,0.11,15.74,1.07,0.64
7181,-0.03,0.99,-0.00,-0.06,-0.07,-0.08,17.20,1.08,0.64
7191,-0.03,0.98,0.00,0.05,-0.13,0.06,18.62,1.09,0.64
7201,-0.02,0.99,0.00,0.23,0.02,0.06,20.03,1.09,0.64
7211,-0.02,0.98,0.00,0.17,0.22,0.11,21.41,1.10,0.64
7221,-0.02,0.99,-0.00,-0.04,-0.05,0.09,22.76,1.10,0.64
7231,-0.02,0.98,0.01,0.03,0.22,-0.09,24.07,1.10,0.64
7241,-0.02,0.99,0.00,0.15,0.08,-0.26,25.37,1.10,0.64
7251,-0.02,0.98,0.00,0.06,0.14,0.01,26.64,1.10,0.64
7261,-0.03,0.98,0.01,0.02,0.13,0.01,27.86,1.12,0.64
7271,-0.03,0.98,0.01,-0.01,0.11,0.15,29.06,1.13,0.64
7281,-0.03,0.99,0.01,0.00,0.01,0.14,30.24,1.14,0.64
7291,-0.03,0.99,0.00,0.12,0.10,0.24,31.40,1.15,0.64
7301,-0.03,0.99,0.01,-0.10,0.08,0.15,32.53,1.16,0.65
7311,-0.02,0.98,0.01,0.00,0.04,-0.11,33.65,1.15,0.64
7321,-0.01,0.99,0.00,0.15,-0.08,0.04,34.76,1.15,0.64
7331,-0.02,0.99,-0.00,0.15,-0.21,-0.03,35.84,1.15,0.64
7341,-0.02,0.98,0.00,0.29,-0.13,-0.08,36.90,1.15,0.64
7351,-0.02,0.98,-0.00,0.05,0.01,-0.00,37.94,1.15,0.64
7361,-0.03,0.98,-0.00,-0.21,-0.13,-0.05,38.96,1.16,0.64
7371,-0.03,0.99,0.00,-0.15,-0.10,-0.02,39.94,1.17,0.64
7381,-0.02,0.98,0.00,-0.15,-0.21,-0.00,40.91,1.17,0.64
7391,-0.02,0.99,-0.01,-0.03,0.07,-0.09,41.87,1.17,0.64
7401,-0.02,0.99,0.00,0.03,0.01,0.06,42.81,1.17,0.64
7411,-0.02,0.99,-0.00,0.09,0.02,0.03,43.73,1.18,0.64
7421,-0.02,0.99,0.00,-0.04,0.05,0.15,44.63,1.18,0.64
7431,-0.02,0.98,0.00,-0.20,-0.04,-0.02,45.50,1.18,0.64
7441,-0.03,0.99,0.00,-0.04,-0.15,-0.02,46.36,1.18,0.64
7451,-0.03,0.98,-0.00,0.14,0.02,0.06,47.20,1.19,0.64
7461,-0.02,0.99,-0.00,0.02,0.22,-0.00,48.03,1.20,0.64
7471,-0.03,0.99,-0.00,0.19,-0.04,0.24,48.84,1.21,0.65
7481,-0.03,0.98,0.00,0.20,0.24,0.06,49.63,1.22,0.65
7491,-0.02,0.98,0.00,0.05,0.24,0.03,50.41,1.22,0.65
7501,-0.02,0.98,-0.00,-0.10,0.16,-0.18,51.19,1.22,0.65
7511,-0.02,0.99,0.00,-0.30,0.08,0.01,51.94,1.22,0.65
7521,-0.02,0.99,0.00,-0.04,0.11,0.07,52.67,1.22,0.65
7531,-0.02,0.99,0.00,0.11,-0.15,0.11,53.39,1.22,0.65
7541,-0.02,0.98,0.00,-0.15,0.04,-0.23,54.09,1.22,0.65
7551,-0.03,0.99,0.00,0.06,0.07,-0.02,54.77,1.23,0.65
7561,-0.03,0.98,-0.00,0.08,0.01,0.20,55.44,1.24,0.65
7571,-0.03,0.99,0.00,-0.03,0.05,0.01,56.10,1.25,0.65
7581,-0.02,0.98,0.00,0.03,-0.01,-0.23,56.74,1.25,0.65
7591,-0.02,0.98,0.00,-0.03,-0.05,-0.02,57.38,1.25,0.65
7601,-0.02,0.99,0.01,0.09,-0.13,0.20,58.00,1.25,0.65
7611,-0.02,0.98,0.00,0.11,-0.19,0.12,58.61,1.25,0.65
7621,-0.02,0.99,-0.00,-0.09,0.02,-0.03,59.21,1.25,0.65
7631,-0.02,0.98,0.00,0.00,-0.04,0.03,59.80,1.25,0.65
7641,-0.02,0.99,-0.00,-0.12,-0.13,-0.09,60.37,1.25,0.65
7651,-0.02,0.99,0.00,-0.04,-0.08,-0.12,60.94,1.25,0.65
7661,-0.03,0.98,0.00,-0.14,0.04,-0.05,61.48,1.27,0.65
7671,-0.02,0.98,0.00,0.02,-0.07,0.12,62.02,1.27,0.65
7681,-0.02,0.98,0.00,0.12,0.13,-0.05,62.56,1.26,0.65
7691,-0.02,0.98,0.00,0.23,0.11,-0.12,63.09,1.26,0.65
7701,-0.02,0.99,0.00,0.00,-0.11,-0.05,63.60,1.26,0.64
7711,-0.02,0.99,0.00,-0.04,0.02,0.14,64.10,1.25,0.65
7721,-0.02,0.98,-0.00,-0.17,0.10,-0.00,64.59,1.26,0.65
7731,-0.02,0.99,0.00,-0.30,-0.07,-0.12,65.07,1.26,0.64
7741,-0.02,0.99,-0.00,0.06,0.11,0.15,65.55,1.26,0.65
7751,-0.03,0.98,-0.01,-0.06,0.04,-0.09,66.01,1.26,0.65
7761,-0.02,0.99,-0.00,-0.01,0.07,-0.00,66.47,1.27,0.65
7771,-0.03,0.99,0.00,-0.04,0.04,-0.09,66.91,1.27,0.64
7781,-0.02,0.99,0.00,0.00,0.19,0.15,67.35,1.27,0.65
7791,-0.02,0.98,0.00,-0.18,0.18,-0.03,67.78,1.26,0.65
7801,-0.02,0.98,0.01,-0.26,0.02,-0.11,68.18,1.26,0.64
7811,-0.02,0.98,0.00,-0.04,0.27,0.15,68.59,1.27,0.65
7821,-0.02,0.99,0.01,0.11,0.04,-0.15,68.98,1.27,0.64
7831,-0.03,0.99,0.00,0.09,0.02,-0.03,69.37,1.27,0.64
7841,-0.03,0.98,0.00,0.09,0.10,0.06,69.75,1.28,0.64
7851,-0.03,0.98,-0.00,-0.10,-0.08,-0.02,70.12,1.29,0.64
7861,-0.02,0.98,-0.00,-0.23,0.31,0.11,70.49,1.29,0.65
7871,-0.02,0.99,-0.00,-0.04,-0.02,-0.03,70.86,1.29,0.65
7881,-0.02,0.98,0.00,0.22,-0.02,-0.00,71.21,1.29,0.65
7891,-0.02,0.99,0.00,0.14,0.01,-0.03,71.57,1.29,0.64
7901,-0.02,0.98,0.00,0.19,-0.07,0.15,71.91,1.28,0.65
7911,-0.02,0.99,0.00,-0.10,-0.08,-0.05,72.25,1.28,0.65
7921,-0.02,0.98,-0.00,-0.18,0.21,0.12,72.57,1.29,0.65
7931,-0.02,0.98,0.00,-0.14,0.01,-0.08,72.90,1.28,0.65
7941,-0.02,0.99,0.00,0.05,-0.30,0.15,73.21,1.28,0.65
